t,x,y
9.238466,3.863266,0.937270
9.271818,3.879059,0.913896
9.305170,3.890906,0.913416
9.338521,3.903766,0.927967
9.371873,3.919843,0.950375
9.405225,3.935755,0.971260
9.438577,3.952128,0.982457
9.471929,3.968623,0.982453
9.505281,3.984312,0.971185
9.538633,3.998246,0.948941
9.571984,4.012660,0.920476
9.605336,4.029477,0.912023
9.638688,4.043116,0.922953
9.672040,4.059833,0.945393
9.705392,4.077171,0.968104
9.738744,4.094717,0.982223
9.772096,4.112367,0.985150
9.805447,4.129408,0.976803
9.838799,4.145113,0.957206
9.872151,4.161869,0.929646
9.905503,4.177372,0.913366
9.938855,4.191157,0.921904
9.972207,4.207849,0.944097
10.005559,4.225932,0.971253
10.038911,4.245855,0.994189
10.072262,4.266216,1.006026
10.105614,4.285566,1.006405
10.138966,4.303147,0.995338
10.172318,4.319950,0.974441
10.205670,4.338380,0.947144
10.239022,4.354805,0.925468
10.272374,4.366510,0.929070
10.305725,4.379483,0.946723
10.339077,4.394972,0.965164
10.372429,4.412451,0.974691
10.405781,4.429717,0.973024
10.439133,4.445309,0.960322
10.472485,4.458453,0.940703
10.505837,4.472233,0.918845
10.539188,4.483867,0.913369
10.572540,4.495923,0.923910
10.605892,4.511183,0.943355
10.639244,4.526502,0.962061
10.672596,4.541741,0.971804
10.705948,4.557226,0.970588
10.739300,4.571965,0.958142
10.772651,4.584593,0.936217
10.806003,4.597847,0.912787
10.839355,4.614587,0.910185
10.872707,4.628774,0.922065
10.906059,4.646147,0.945085
10.939411,4.664792,0.971182
10.972763,4.683828,0.991575
11.006115,4.703214,1.000835
11.039466,4.721882,0.998685
11.072818,4.739040,0.985189
11.106170,4.756030,0.961852
11.139522,4.774513,0.931775
11.172874,4.789048,0.917364
11.206226,4.802095,0.926978
11.239578,4.818773,0.949690
11.272929,4.837565,0.975300
11.306281,4.857716,0.994558
11.339633,4.877931,1.002611
11.372985,4.897199,0.999226
11.406337,4.914769,0.984439
11.439689,4.932551,0.960925
11.473041,4.951340,0.931774
11.506392,4.965819,0.919486
11.539744,4.978600,0.929241
11.573096,4.994008,0.950868
11.606448,5.011909,0.971484
11.639800,5.031215,0.982033
11.673152,5.049887,0.981212
11.706504,5.066895,0.969261
11.739855,5.081479,0.949956
11.773207,5.098276,0.926170
11.806559,5.111063,0.912979
11.839911,5.122911,0.917865
11.873263,5.137708,0.935880
11.906615,5.153503,0.960153
11.939967,5.170703,0.981040
11.973319,5.189249,0.991153
12.006670,5.206754,0.989829
12.040022,5.222090,0.977697
12.073374,5.235005,0.958696
12.106726,5.250324,0.933881
12.140078,5.263876,0.913488
12.173430,5.274837,0.915856
12.206782,5.288062,0.933010
12.240133,5.303275,0.957244
12.273485,5.320257,0.978241
12.306837,5.338305,0.988395
12.340189,5.355157,0.987075
12.373541,5.369623,0.975405
12.406893,5.382183,0.957354
12.440245,5.397411,0.933603
12.473596,5.409464,0.916378
12.506948,5.420052,0.921008
12.540300,5.433506,0.939591
12.573652,5.448948,0.964049
12.607004,5.466716,0.984761
12.640356,5.485139,0.994432
12.673708,5.502212,0.992617
12.707059,5.517079,0.980150
12.740411,5.529959,0.961128
12.773763,5.545131,0.936700
12.807115,5.558770,0.920368
12.840467,5.569639,0.924655
12.873819,5.582514,0.941607
12.907171,5.597360,0.960367
12.940523,5.613725,0.971456
12.973874,5.630283,0.971615
13.007226,5.645130,0.961017
13.040578,5.656633,0.944033
13.073930,5.670210,0.922197
13.107282,5.682431,0.909690
13.140634,5.694434,0.917221
13.173986,5.709569,0.937164
13.207337,5.725721,0.962557
13.240689,5.743361,0.984207
13.274041,5.761808,0.994884
13.307393,5.779240,0.994110
13.340745,5.794790,0.982145
13.374097,5.808288,0.962558
13.407449,5.823937,0.936851
13.440800,5.838203,0.915982
13.474152,5.848985,0.918176
13.507504,5.861723,0.935826
13.540856,5.877020,0.960372
13.574208,5.894810,0.981441
13.607560,5.913364,0.991533
13.640912,5.930474,0.990109
13.674263,5.945149,0.978368
13.707615,5.957919,0.960191
13.740967,5.973066,0.936304
13.774319,5.985562,0.919286
13.807671,5.996145,0.923412
13.841023,6.008928,0.940909
13.874375,6.023985,0.962723
13.907727,6.040769,0.979109
13.941078,6.058133,0.984457
13.974430,6.074110,0.978318
14.007782,6.087154,0.962984
14.041134,6.099363,0.941515
14.074486,6.114344,0.917022
14.107838,6.125958,0.909021
14.141190,6.137586,0.917849
14.174541,6.152101,0.937338
14.207893,6.167138,0.960662
14.241245,6.183424,0.978902
14.274597,6.200415,0.986117
14.307949,6.216407,0.981911
14.341301,6.230230,0.967251
14.374653,6.242689,0.946175
14.408004,6.258118,0.920400
14.441356,6.270308,0.910123
14.474708,6.281821,0.920118
14.508060,6.297169,0.941758
14.541412,6.313067,0.964799
14.574764,6.329814,0.980186
14.608116,6.346809,0.984416
14.641467,6.362907,0.977250
14.674819,6.376972,0.959862
14.708171,6.390014,0.936789
14.741523,6.407285,0.915845
14.774875,6.421140,0.916418
14.808227,6.434473,0.930273
14.841579,6.451329,0.952458
14.874931,6.468353,0.972907
14.908282,6.485406,0.983438
14.941634,6.502337,0.982693
14.974986,6.518530,0.970705
15.008338,6.533430,0.947523
15.041690,6.549785,0.917150
15.075042,6.564422,0.905802
15.108394,6.579151,0.918766
15.141745,6.596821,0.943932
15.175097,6.616192,0.974112
15.208449,6.637622,1.000423
15.241801,6.659462,1.015634
15.275153,6.680351,1.019389
15.308505,6.699521,1.011694
15.341857,6.717473,0.992838
15.375208,6.736968,0.966480
15.408560,6.756991,0.936780
15.441912,6.769954,0.928152
15.475264,6.781308,0.938654
15.508616,6.795981,0.958837
15.541968,6.813267,0.976406
15.575320,6.831296,0.983201
15.608671,6.848267,0.978549
15.642023,6.863073,0.963485
15.675375,6.876733,0.942221
15.708727,6.891741,0.917650
15.742079,6.903090,0.908758
15.775431,6.914618,0.916913
15.808783,6.929085,0.935794
15.842135,6.945230,0.960354
15.875486,6.961867,0.981261
15.908838,6.979266,0.991207
15.942190,6.995801,0.989723
15.975542,7.010464,0.977236
16.008894,7.022897,0.957511
16.042246,7.037972,0.931949
16.075598,7.051260,0.913173
16.108949,7.062073,0.917309
16.142301,7.075826,0.935618
16.175653,7.091276,0.960466
16.209005,7.108879,0.982007
16.242357,7.127067,0.992537
16.275709,7.144145,0.991602
16.309061,7.159256,0.979726
16.342412,7.172295,0.960747
16.375764,7.187655,0.935787
16.409116,7.201379,0.917839
16.442468,7.212344,0.922018
16.475820,7.225474,0.939995
16.509172,7.240945,0.962627
16.542524,7.258352,0.980232
16.575875,7.276323,0.986787
16.609227,7.292885,0.981830
16.642579,7.306632,0.967383
16.675931,7.319135,0.946931
16.709283,7.334536,0.922069
16.742635,7.346542,0.911768
16.775987,7.357783,0.919406
16.809339,7.372414,0.938552
16.842690,7.387366,0.961096
16.876042,7.403667,0.978215
16.909394,7.420669,0.984305
16.942746,7.436663,0.978987
16.976098,7.450390,0.963471
17.009450,7.462921,0.941906
17.042802,7.478523,0.916877
17.076153,7.491063,0.909888
17.109505,7.502871,0.920723
17.142857,7.518486,0.942609
17.176209,7.534537,0.965090
17.209561,7.551217,0.979170
17.242913,7.568085,0.982063
17.276265,7.584094,0.973605
17.309616,7.598177,0.954963
17.342968,7.611716,0.931076
17.376320,7.629152,0.913409
17.409672,7.642909,0.918082
17.443024,7.657539,0.935029
17.476376,7.674236,0.957524
17.509728,7.691109,0.976255
17.543079,7.708423,0.984102
17.576431,7.725198,0.980603
17.609783,7.740614,0.965899
17.643135,7.755376,0.943878
17.676487,7.771700,0.920628
17.709839,7.784674,0.918564
17.743191,7.799064,0.934734
17.776543,7.816620,0.959704
17.809894,7.835263,0.983068
17.843246,7.854716,0.996097
17.876598,7.873769,0.997725
17.909950,7.891581,0.987947
17.943302,7.907423,0.968035
17.976654,7.922870,0.941935
18.010006,7.942109,0.919767
18.043357,7.956546,0.920028
18.076709,7.969957,0.932941
18.110061,7.985934,0.953479
18.143413,8.002285,0.971661
18.176765,8.019414,0.979390
18.210117,8.036156,0.975810
18.243469,8.051470,0.961161
18.276820,8.065177,0.939491
18.310172,8.080583,0.915827
18.343524,8.092761,0.910906
18.376876,8.105459,0.923568
18.410228,8.122095,0.946555
18.443580,8.139276,0.968799
18.476932,8.156578,0.981491
18.510283,8.173934,0.982961
18.543635,8.190536,0.973149
18.576987,8.205543,0.952304
18.610339,8.221052,0.924897
18.643691,8.237614,0.911907
18.677043,8.251442,0.921580
18.710395,8.268060,0.943757
18.743747,8.285559,0.968196
18.777098,8.303963,0.985824
18.810450,8.322581,0.992286
18.843802,8.340443,0.987376
18.877154,8.356789,0.971142
18.910506,8.373588,0.946799
18.943858,8.390749,0.921214
18.977210,8.404016,0.919735
19.010561,8.418350,0.936642
19.043913,8.435799,0.962099
19.077265,8.454254,0.985037
19.110617,8.473562,0.997290
19.143969,8.492314,0.998156
19.177321,8.509622,0.987614
19.210673,8.525122,0.967100
19.244024,8.541485,0.940382
19.277376,8.559191,0.921416
19.310728,8.572000,0.925483
19.344080,8.586158,0.941526
19.377432,8.601325,0.958432
19.410784,8.617795,0.967377
19.444136,8.634070,0.965655
19.477487,8.649285,0.952625
19.510839,8.662456,0.930845
19.544191,8.677317,0.912236
19.577543,8.691952,0.916516
19.610895,8.707454,0.935554
19.644247,8.725458,0.962096
19.677599,8.744639,0.986025
19.710951,8.764437,0.999084
19.744302,8.783326,1.000666
19.777654,8.800527,0.990774
19.811006,8.815884,0.971859
19.844358,8.832285,0.946619
19.877710,8.849309,0.921814
19.911062,8.860109,0.918713
19.944414,8.872311,0.933236
19.977765,8.887795,0.956924
20.011117,8.904166,0.977980
20.044469,8.921755,0.988405
20.077821,8.938662,0.987442
20.111173,8.953751,0.975418
20.144525,8.966304,0.956082
20.177877,8.981208,0.931090
20.211228,8.994953,0.917693
20.244580,9.006422,0.923234
20.277932,9.020231,0.940881
20.311284,9.035415,0.961428
20.344636,9.052053,0.975742
20.377988,9.068965,0.978977
20.411340,9.084712,0.970818
20.444691,9.097784,0.954082
20.478043,9.111378,0.931822
20.511395,9.125227,0.912423
20.544747,9.136294,0.912425
20.578099,9.149200,0.927068
20.611451,9.165200,0.950123
20.644803,9.181004,0.971107
20.678155,9.197715,0.981821
20.711506,9.214209,0.981233
20.744858,9.229312,0.969493
20.778210,9.241778,0.950223
20.811562,9.256754,0.925682
20.844914,9.269010,0.910964
20.878266,9.280330,0.917220
20.911618,9.295157,0.937071
20.944969,9.311290,0.963008
20.978321,9.329444,0.985601
21.011673,9.348283,0.997200
21.045025,9.366068,0.997341
21.078377,9.382031,0.986145
21.111729,9.396070,0.966893
21.145081,9.411877,0.941556
21.178432,9.426695,0.918686
21.211784,9.437246,0.918377
21.245136,9.449369,0.933717
21.278488,9.464103,0.956492
21.311840,9.480632,0.975983
21.345192,9.498219,0.984625
21.378544,9.514510,0.981784
