t,x,y
10.839355,11.883483,0.886667
10.872707,11.920724,0.877803
10.906059,11.964316,0.870567
10.939411,12.008359,0.874847
10.972763,12.056068,0.887684
11.006115,12.111122,0.898643
11.039466,12.163882,0.909847
11.072818,12.204105,0.920262
11.106170,12.237716,0.928736
11.139522,12.269891,0.929345
11.172874,12.298247,0.925877
11.206226,12.328288,0.926246
11.239578,12.362966,0.926098
11.272929,12.396880,0.921325
11.306281,12.432433,0.916614
11.339633,12.465615,0.909985
11.372985,12.495822,0.901756
11.406337,12.528659,0.893778
11.439689,12.565702,0.885788
11.473041,12.606269,0.878722
11.506392,12.650934,0.877225
11.539744,12.697207,0.888449
11.573096,12.749029,0.899211
11.606448,12.796135,0.911409
11.639800,12.832834,0.921855
11.673152,12.866403,0.924305
11.706504,12.899648,0.922536
11.739855,12.935446,0.924969
11.773207,12.972140,0.926232
11.806559,13.009225,0.923992
11.839911,13.046730,0.918817
11.873263,13.076435,0.911581
11.906615,13.104423,0.903046
11.939967,13.134279,0.893815
11.973319,13.168530,0.883935
12.006670,13.208544,0.874713
12.040022,13.248356,0.874600
12.073374,13.289857,0.885850
12.106726,13.339581,0.898408
12.140078,13.395259,0.907372
12.173430,13.438341,0.915055
12.206782,13.470038,0.919861
12.240133,13.501035,0.922000
12.273485,13.530865,0.923748
12.306837,13.562020,0.923770
12.340189,13.596298,0.924044
12.373541,13.630882,0.921999
12.406893,13.666455,0.917703
12.440245,13.703301,0.911895
12.473596,13.741416,0.903953
12.506948,13.777353,0.894551
12.540300,13.814445,0.885307
12.573652,13.854161,0.877634
12.607004,13.897900,0.874694
12.640356,13.947107,0.883981
12.673708,14.001606,0.895700
12.707059,14.048643,0.908383
12.740411,14.085275,0.919274
12.773763,14.120528,0.922797
12.807115,14.153685,0.919735
12.840467,14.188201,0.920968
12.873819,14.226003,0.923305
12.907171,14.263540,0.921417
12.940523,14.303126,0.917084
12.973874,14.333660,0.910017
13.007226,14.360215,0.899392
13.040578,14.389726,0.889441
13.073930,14.423944,0.879413
13.107282,14.463349,0.868842
13.140634,14.501855,0.869587
13.173986,14.543389,0.881526
13.207337,14.593266,0.895225
13.240689,14.649785,0.905951
13.274041,14.695442,0.911233
13.307393,14.727035,0.917752
13.340745,14.759936,0.924471
13.374097,14.792384,0.926085
13.407449,14.822212,0.925839
13.440800,14.854630,0.925232
13.474152,14.888267,0.923089
13.507504,14.922251,0.918833
13.540856,14.958576,0.912842
13.574208,14.996515,0.905931
13.607560,15.030212,0.897942
13.640912,15.065889,0.890122
13.674263,15.104804,0.883193
13.707615,15.149477,0.878904
13.740967,15.198401,0.886482
13.774319,15.251033,0.898660
13.807671,15.297736,0.912624
13.841023,15.335218,0.923618
13.874375,15.369528,0.926763
13.907727,15.402802,0.922541
13.941078,15.437132,0.920848
13.974430,15.472649,0.923491
14.007782,15.508719,0.921308
14.041134,15.547393,0.915873
14.074486,15.577484,0.908236
14.107838,15.604025,0.896462
14.141190,15.633559,0.887662
14.174541,15.668363,0.879709
14.207893,15.709102,0.871347
14.241245,15.749063,0.871642
14.274597,15.791574,0.882991
14.307949,15.842390,0.895792
14.341301,15.899379,0.905074
14.374653,15.942551,0.912527
14.408004,15.973545,0.919462
14.441356,16.006267,0.922370
14.474708,16.037836,0.923195
14.508060,16.069037,0.922505
14.541412,16.103218,0.923523
14.574764,16.136351,0.920800
14.608116,16.170016,0.916260
14.641467,16.207976,0.910193
14.674819,16.248314,0.902012
14.708171,16.285076,0.891734
14.741523,16.323471,0.882887
14.774875,16.364335,0.876075
14.808227,16.408854,0.873683
14.841579,16.456900,0.881582
14.874931,16.510321,0.892690
14.908282,16.559416,0.906746
14.941634,16.598658,0.919328
14.974986,16.633016,0.924297
15.008338,16.666124,0.921711
15.041690,16.700039,0.922258
15.075042,16.736312,0.925261
15.108394,16.772474,0.923436
15.141745,16.812211,0.919505
15.175097,16.843216,0.913260
15.208449,16.869960,0.904009
15.241801,16.898739,0.893611
15.275153,16.931741,0.883780
15.308505,16.970181,0.874229
15.341857,17.009528,0.873059
15.375208,17.050669,0.882977
15.408560,17.099655,0.895271
15.441912,17.155448,0.905592
15.475264,17.199992,0.911874
15.508616,17.233626,0.916987
15.541968,17.267122,0.923696
15.575320,17.298343,0.924745
15.608671,17.328810,0.924110
15.642023,17.362614,0.924224
15.675375,17.396318,0.922185
15.708727,17.430640,0.917882
15.742079,17.465800,0.912050
15.775431,17.502938,0.904225
15.808783,17.538976,0.895151
15.842135,17.575039,0.885940
15.875486,17.613619,0.877905
15.908838,17.656659,0.873959
15.942190,17.705141,0.881280
15.975542,17.760110,0.892195
16.008894,17.808355,0.905264
16.042246,17.844086,0.917335
16.075598,17.879320,0.922486
16.108949,17.912556,0.919887
16.142301,17.944968,0.919497
16.175653,17.981968,0.922839
16.209005,18.020012,0.923207
16.242357,18.059729,0.920909
16.275709,18.091595,0.914418
16.309061,18.119147,0.904418
16.342412,18.147924,0.894891
16.375764,18.180141,0.886116
16.409116,18.218224,0.877209
16.442468,18.258677,0.874202
16.475820,18.299327,0.883650
16.509172,18.347106,0.896391
16.542524,18.401540,0.906895
16.575875,18.446360,0.912695
16.609227,18.479332,0.918187
16.642579,18.511810,0.924423
16.675931,18.541612,0.925907
16.709283,18.570320,0.925524
16.742635,18.602526,0.925772
16.775987,18.634979,0.923904
16.809339,18.668272,0.920482
16.842690,18.702957,0.915491
16.876042,18.739861,0.908531
16.909394,18.773355,0.900198
16.942746,18.807319,0.891709
16.976098,18.844223,0.884404
17.009450,18.887308,0.879142
17.042802,18.934241,0.885765
17.076153,18.985798,0.897106
17.109505,19.032106,0.906474
17.142857,19.067938,0.915318
17.176209,19.102650,0.919380
17.209561,19.134802,0.919452
17.242913,19.166852,0.919596
17.276265,19.202680,0.921876
17.309616,19.238700,0.921878
17.342968,19.276704,0.919194
17.376320,19.309904,0.913114
17.409672,19.336775,0.903718
17.443024,19.364734,0.893936
17.476376,19.396620,0.884626
17.509728,19.434496,0.875164
17.543079,19.473819,0.871520
17.576431,19.515027,0.880715
17.609783,19.562446,0.895428
17.643135,19.616044,0.907499
17.676487,19.662426,0.912418
17.709839,19.694721,0.918253
17.743191,19.725945,0.924693
17.776543,19.756140,0.926261
17.809894,19.784147,0.926236
17.843246,19.814690,0.926228
17.876598,19.846336,0.924480
17.909950,19.879271,0.920858
17.943302,19.913840,0.915972
17.976654,19.949768,0.909040
18.010006,19.981998,0.901139
18.043357,20.015886,0.892048
18.076709,20.052780,0.885064
18.110061,20.094887,0.882369
18.143413,20.139672,0.886778
18.176765,20.188859,0.896927
18.210117,20.236748,0.905232
18.243469,20.274780,0.913149
18.276820,20.310523,0.918395
18.310172,20.345318,0.919722
18.343524,20.380166,0.920881
18.376876,20.417668,0.922320
18.410228,20.455165,0.920869
18.443580,20.495476,0.916824
18.476932,20.528822,0.909279
18.510283,20.557607,0.899475
18.543635,20.587098,0.887738
18.576987,20.621666,0.877164
18.610339,20.661446,0.867932
18.643691,20.700880,0.869096
18.677043,20.743371,0.879914
18.710395,20.794025,0.892509
18.743747,20.850074,0.902292
18.777098,20.893326,0.910269
18.810450,20.923746,0.917975
18.843802,20.953657,0.921674
18.877154,20.982567,0.922523
18.910506,21.012011,0.923575
18.943858,21.045995,0.924232
18.977210,21.078784,0.922432
19.010561,21.111890,0.918880
19.043913,21.148400,0.913388
19.077265,21.185827,0.906250
19.110617,21.220985,0.897831
19.143969,21.258103,0.889668
19.177321,21.298234,0.883915
19.210673,21.338357,0.881677
19.244024,21.380862,0.885699
19.277376,21.435446,0.893228
19.310728,21.481093,0.905254
19.344080,21.514381,0.917927
19.377432,21.549084,0.923312
19.410784,21.581317,0.920320
19.444136,21.611347,0.919341
19.477487,21.645652,0.924396
19.510839,21.681010,0.925101
19.544191,21.718351,0.922995
19.577543,21.749760,0.916639
19.610895,21.776136,0.908267
19.644247,21.803792,0.902157
19.677599,21.834172,0.894380
19.710951,21.869631,0.885916
19.744302,21.909824,0.881115
19.777654,21.950690,0.887943
19.811006,21.994495,0.900503
19.844358,22.046091,0.909378
19.877710,22.097511,0.915252
19.911062,22.133565,0.923094
19.944414,22.163961,0.928704
19.977765,22.194332,0.927122
20.011117,22.224124,0.925982
20.044469,22.254608,0.925899
20.077821,22.285459,0.921958
20.111173,22.318179,0.918153
20.144525,22.353405,0.912379
20.177877,22.388986,0.904675
20.211228,22.419654,0.895833
20.244580,22.452786,0.887427
20.277932,22.490036,0.879546
20.311284,22.532360,0.872717
20.344636,22.578066,0.876436
20.377988,22.628563,0.888687
20.411340,22.677898,0.900624
20.444691,22.715011,0.913312
20.478043,22.748568,0.919984
20.511395,22.780730,0.919904
20.544747,22.810971,0.920348
20.578099,22.845277,0.924234
20.611451,22.880498,0.924460
20.644803,22.916710,0.924311
20.678155,22.951326,0.918735
20.711506,22.980094,0.910221
20.744858,23.007874,0.904908
20.778210,23.036569,0.897347
20.811562,23.069759,0.889239
20.844914,23.109321,0.881382
20.878266,23.151483,0.879962
20.911618,23.193462,0.890824
20.944969,23.242003,0.903801
20.978321,23.295542,0.912428
21.011673,23.336891,0.918696
21.045025,23.366040,0.924117
21.078377,23.395994,0.924725
21.111729,23.425482,0.925531
21.145081,23.455319,0.925291
21.178432,23.487102,0.924036
21.211784,23.519798,0.922541
21.245136,23.553854,0.918299
21.278488,23.589475,0.911876
21.311840,23.625049,0.904377
21.345192,23.658062,0.895642
21.378544,23.694388,0.888117
21.411895,23.733671,0.881014
21.445247,23.778029,0.878237
21.478599,23.826754,0.888600
21.511951,23.878927,0.900868
21.545303,23.925989,0.912102
21.578655,23.964329,0.919498
21.612007,23.996802,0.921407
21.645359,24.029930,0.918517
21.678710,24.064916,0.920949
21.712062,24.102839,0.923743
21.745414,24.140526,0.919696
21.778766,24.179265,0.913587
21.812118,24.209717,0.906707
21.845470,24.237301,0.897059
21.878822,24.266886,0.885286
21.912173,24.301938,0.874188
21.945525,24.341468,0.867233
21.978877,24.381130,0.870770
22.012229,24.424388,0.881209
22.045581,24.476162,0.892617
22.078933,24.530108,0.902679
22.112285,24.571603,0.913035
22.145636,24.604885,0.921834
22.178988,24.634802,0.924972
22.212340,24.662141,0.923334
22.245692,24.690742,0.924892
22.279044,24.721988,0.925439
22.312396,24.753640,0.923934
22.345748,24.786365,0.920540
22.379099,24.821073,0.915823
22.412451,24.856329,0.909314
22.445803,24.888872,0.901774
22.479155,24.923388,0.894320
22.512507,24.960098,0.888691
22.545859,25.003189,0.884877
22.579211,25.050028,0.888208
22.612563,25.091825,0.899821
22.645914,25.133384,0.909493
22.679266,25.172984,0.914779
22.712618,25.204331,0.917138
22.745970,25.233776,0.919400
22.779322,25.266520,0.921222
22.812674,25.301085,0.922935
22.846026,25.338319,0.920290
22.879377,25.377348,0.918244
22.912729,25.409369,0.912683
22.946081,25.436870,0.903083
22.979433,25.465168,0.891838
23.012785,25.498792,0.882560
23.046137,25.538049,0.874568
23.079489,25.577022,0.872927
23.112840,25.617418,0.882878
23.146192,25.666469,0.896016
23.179544,25.722830,0.906754
23.212896,25.767790,0.914465
23.246248,25.799865,0.920838
23.279600,25.832046,0.923717
23.312952,25.862965,0.923347
23.346304,25.893425,0.923070
23.379655,25.927070,0.922650
23.413007,25.960339,0.919990
23.446359,25.994081,0.914911
23.479711,26.032095,0.909356
23.513063,26.072832,0.901205
23.546415,26.110270,0.891009
23.579767,26.148324,0.881648
23.613118,26.189122,0.874330
23.646470,26.233247,0.871277
23.679822,26.282973,0.878348
23.713174,26.337835,0.888831
23.746526,26.385911,0.903623
23.779878,26.423680,0.917465
23.813230,26.457468,0.923118
23.846581,26.490111,0.920539
23.879933,26.523486,0.921357
23.913285,26.559529,0.924888
23.946637,26.594790,0.924505
23.979989,26.632994,0.921897
24.013341,26.666291,0.915492
24.046693,26.694628,0.906327
24.080044,26.723385,0.897385
24.113396,26.754878,0.888130
24.146748,26.792136,0.879379
24.180100,26.832892,0.874195
24.213452,26.873931,0.882673
24.246804,26.920816,0.897099
24.280156,26.974228,0.908582
24.313508,27.021140,0.914748
24.346859,27.053997,0.921183
24.380211,27.084361,0.925761
24.413563,27.112479,0.926426
24.446915,27.141118,0.926152
24.480267,27.173696,0.926764
24.513619,27.205379,0.924029
24.546971,27.237622,0.920513
24.580322,27.272632,0.915778
24.613674,27.309065,0.908762
24.647026,27.340917,0.901014
24.680378,27.374314,0.892584
24.713730,27.410763,0.885257
24.747082,27.453045,0.879149
24.780434,27.498988,0.882160
24.813785,27.546199,0.893343
24.847137,27.593568,0.904196
24.880489,27.631681,0.914414
24.913841,27.665991,0.919750
24.947193,27.698619,0.920701
24.980545,27.731113,0.920453
25.013897,27.767150,0.923314
25.047248,27.803547,0.923632
25.080600,27.841446,0.920751
25.113952,27.875416,0.913326
25.147304,27.905019,0.904583
25.180656,27.934788,0.895126
25.214008,27.966429,0.885008
25.247360,28.003903,0.875441
25.280712,28.045942,0.871362
25.314063,28.087770,0.879125
25.347415,28.134517,0.891497
25.380767,28.189127,0.901416
25.414119,28.238338,0.910234
25.447471,28.274812,0.919503
25.480823,28.308499,0.926537
25.514175,28.339516,0.925252
25.547526,28.369138,0.925095
25.580878,28.401208,0.926158
25.614230,28.432606,0.923640
25.647582,28.465047,0.919467
25.680934,28.500937,0.914119
25.714286,28.538566,0.906668
25.747638,28.570293,0.897547
25.780989,28.603284,0.887883
25.814341,28.639716,0.879413
25.847693,28.680575,0.873189
25.881045,28.723881,0.875932
25.914397,28.774694,0.887149
25.947749,28.828192,0.898222
25.981101,28.869309,0.909541
26.014452,28.905260,0.916982
26.047804,28.938875,0.919628
26.081156,28.971664,0.920390
26.114508,29.007954,0.923168
26.147860,29.045231,0.924721
26.181212,29.083554,0.922871
26.214564,29.121547,0.916984
26.247916,29.151626,0.909539
26.281267,29.179772,0.901515
26.314619,29.209669,0.892224
26.347971,29.244467,0.882687
26.381323,29.285651,0.873668
26.414675,29.326761,0.875646
26.448027,29.370251,0.889060
26.481379,29.421962,0.902594
26.514730,29.477502,0.910583
26.548082,29.517817,0.917377
26.581434,29.546509,0.924380
26.614786,29.576565,0.925241
26.648138,29.606480,0.925529
26.681490,29.636636,0.925926
26.714842,29.667505,0.924071
26.748193,29.700901,0.922531
26.781545,29.735105,0.917719
26.814897,29.771135,0.911883
26.848249,29.804537,0.904114
26.881601,29.836898,0.895535
26.914953,29.873597,0.887243
26.948305,29.913115,0.880905
26.981656,29.957266,0.879665
27.015008,30.006533,0.889574
27.048360,30.060056,0.900675
27.081712,30.105659,0.912891
27.115064,30.139898,0.921523
27.148416,30.172799,0.923037
27.181768,30.205133,0.921244
27.215120,30.240373,0.923786
27.248471,30.277117,0.924893
27.281823,30.314797,0.923159
27.315175,30.350218,0.915805
27.348527,30.380206,0.907805
27.381879,30.409615,0.900893
27.415231,30.439500,0.892255
27.448583,30.473338,0.882808
27.481934,30.514127,0.872943
27.515286,30.557154,0.870632
27.548638,30.600060,0.881764
27.581990,30.649138,0.895047
27.615342,30.702982,0.905104
27.648694,30.745108,0.914626
27.682046,30.776424,0.920836
27.715397,30.805768,0.923410
27.748749,30.833310,0.924934
27.782101,30.862414,0.924460
27.815453,30.894029,0.925704
27.848805,30.926628,0.925102
27.882157,30.960246,0.922477
27.915509,30.994102,0.917317
27.948860,31.029219,0.912046
27.982212,31.063965,0.904759
28.015564,31.099363,0.897290
28.048916,31.136193,0.891743
28.082268,31.178636,0.887433
28.115620,31.225327,0.890919
28.148972,31.267449,0.902375
28.182324,31.310284,0.911491
28.215675,31.349678,0.916713
28.249027,31.382014,0.920295
28.282379,31.413903,0.921642
28.315731,31.447406,0.921822
28.349083,31.482624,0.922451
28.382435,31.518286,0.918268
28.415787,31.555903,0.913544
28.449138,31.586543,0.906576
28.482490,31.614105,0.895023
28.515842,31.643686,0.884072
28.549194,31.678685,0.875145
28.582546,31.719317,0.867568
28.615898,31.759322,0.869795
28.649250,31.802303,0.880698
28.682601,31.853832,0.892582
28.715953,31.909373,0.901847
28.749305,31.950448,0.910806
28.782657,31.981464,0.919576
28.816009,32.013251,0.922574
28.849361,32.042072,0.922355
28.882713,32.071174,0.923380
28.916064,32.104669,0.923889
28.949416,32.136991,0.922323
28.982768,32.169046,0.918125
